scientific.name,common.name,iconic.taxon.name,groups,observed.on,place.guess,positional.accuracy,user.login,user.id,captive.cultivated,url,image.url,license,source,checklist,count,longitude,latitude
Echinocereus engelmannii fasciculatus,pinkflower hedgehog cactus,Plantae,Plants,2026-08-08,"Saguaro National Park - Rincon Mountain District, Tucson, AZ, US",11,sueriffe,2520731,false,https://www.inaturalist.org/observations/389786427,https://inaturalist-open-data.s3.amazonaws.com/photos/714019632/medium.jpg,CC-BY-NC,iNaturalist,NA,1,-110.7363966667,32.1801333333
Echinocereus engelmannii fasciculatus,pinkflower hedgehog cactus,Plantae,Plants,2026-08-06,"Saguaro National Park - Tucson Mountain District (West), Tucson, AZ, US",3,dylan_sheng,5252273,false,https://www.inaturalist.org/observations/388842496,https://inaturalist-open-data.s3.amazonaws.com/photos/712207240/medium.jpg,CC-BY-NC,iNaturalist,NA,1,-111.1970216667,32.2539883333
Erythrodiplax basifusca,plateau dragonlet,Insecta,Insects,2026-08-06,"Pima County, AZ, USA",109,roomthily,442615,false,https://www.inaturalist.org/observations/388915303,https://inaturalist-open-data.s3.amazonaws.com/photos/712349919/medium.jpg,CC-BY-NC,iNaturalist,NA,1,-110.6844798514,32.2110483428
Jacquemontia pringlei,pringle's clustervine,Plantae,Plants,2026-08-06,"Saguaro National Park - Rincon Mountain District, Tucson, AZ, US",3,roomthily,442615,false,https://www.inaturalist.org/observations/389778015,https://inaturalist-open-data.s3.amazonaws.com/photos/714003434/medium.jpg,CC-BY-NC,iNaturalist,NA,1,-110.6836383333,32.230245
Progne subis,purple martin,Aves,Birds,2026-08-10,Saguaro NP--East--Desert Ecology Trail,NA,NA,NA,NA,https://ebird.org/checklist/S382061545,NA,NA,eBird,S382061545,5,-110.724721,32.2035417
Progne subis,purple martin,Aves,Birds,2026-08-10,Saguaro NP--East--Extreme Living Overlook,NA,NA,NA,NA,https://ebird.org/checklist/S382075582,NA,NA,eBird,S382075582,1,-110.731385,32.189803
Progne subis,purple martin,Aves,Birds,2026-08-10,Saguaro NP--East--Broadway trailhead,NA,NA,NA,NA,https://ebird.org/checklist/S381965617,NA,NA,eBird,S381965617,4,-110.7261643,32.2207405
Progne subis,purple martin,Aves,Birds,2026-08-09,"Saguaro NP--East--Rincon Mountains Unit  (Historical, please do not use for current lists)",NA,NA,NA,NA,https://ebird.org/checklist/S381803755,NA,NA,eBird,S381803755,3,-110.719749,32.180752
Progne subis,purple martin,Aves,Birds,2026-08-09,Saguaro NP--East--Cactus Forest Dr Loop,NA,NA,NA,NA,https://ebird.org/checklist/S381652398,NA,NA,eBird,S381652398,2,-110.7076505,32.191219
Progne subis,purple martin,Aves,Birds,2026-08-09,Saguaro NP--East--Rincon Mountain Visitor Center (not Cactus Loop Dr.),NA,NA,NA,NA,https://ebird.org/checklist/S381683723,NA,NA,eBird,S381683723,2,-110.7363725,32.180053
Progne subis,purple martin,Aves,Birds,2026-08-08,Saguaro NP--West--Valley View Overlook Trail,NA,NA,NA,NA,https://ebird.org/checklist/S381284537,NA,NA,eBird,S381284537,1,-111.197789,32.2770486
Progne subis,purple martin,Aves,Birds,2026-08-08,Saguaro NP--West--Hugh Norris Trail,NA,NA,NA,NA,https://ebird.org/checklist/S381282402,NA,NA,eBird,S381282402,1,-111.1983991,32.2694148
Progne subis,purple martin,Aves,Birds,2026-08-08,"Pink Hill Trail, Tucson US-AZ 32.22117, -110.71982",NA,NA,NA,NA,https://ebird.org/checklist/S381237246,NA,NA,eBird,S381237246,4,-110.719822,32.221175
Progne subis,purple martin,Aves,Birds,2026-08-07,Saguaro NP--West--Ez-Kim-In-Zin Picnic Area,NA,NA,NA,NA,https://ebird.org/checklist/S380986550,NA,NA,eBird,S380986550,2,-111.1693963,32.2856157
Progne subis,purple martin,Aves,Birds,2026-08-07,Saguaro NP--East--Cactus Forest South Trailhead,NA,NA,NA,NA,https://ebird.org/checklist/S380847581,NA,NA,eBird,S380847581,NA,-110.7287979,32.1704179
Progne subis,purple martin,Aves,Birds,2026-08-05,Saguaro NP--West--Desert Discovery Trail,NA,NA,NA,NA,https://ebird.org/checklist/S380254466,NA,NA,eBird,S380254466,4,-111.2106575,32.2625304
Progne subis,purple martin,Aves,Birds,2026-08-05,Saguaro NP--East--Lower Chiminea Canyon,NA,NA,NA,NA,https://ebird.org/checklist/S380197643,NA,NA,eBird,S380197643,4,-110.6086395,32.1534807
Cardinalis sinuatus,pyrrhuloxia,Aves,Birds,2026-08-07,"Saguaro National Park - Tucson Mountain District (West), Tucson, AZ, US",25,emu_193,5817223,false,https://www.inaturalist.org/observations/390088547,https://inaturalist-open-data.s3.amazonaws.com/photos/714616219/medium.jpg,CC-BY-NC,iNaturalist,NA,1,-111.2107881313,32.2625469122
Cardinalis sinuatus,pyrrhuloxia,Aves,Birds,2026-08-10,Saguaro NP--East--Desert Ecology Trail,NA,NA,NA,NA,https://ebird.org/checklist/S382061545,NA,NA,eBird,S382061545,1,-110.724721,32.2035417
Cardinalis sinuatus,pyrrhuloxia,Aves,Birds,2026-08-10,Saguaro NP--West--Desert Discovery Trail,NA,NA,NA,NA,https://ebird.org/checklist/S382039197,NA,NA,eBird,S382039197,2,-111.2106575,32.2625304
Cardinalis sinuatus,pyrrhuloxia,Aves,Birds,2026-08-09,"Saguaro NP--East--Rincon Mountains Unit  (Historical, please do not use for current lists)",NA,NA,NA,NA,https://ebird.org/checklist/S381803755,NA,NA,eBird,S381803755,1,-110.719749,32.180752
Cardinalis sinuatus,pyrrhuloxia,Aves,Birds,2026-08-09,"Saguaro National Park - Tucson Mountain District (West), Tucson US-AZ 32.26904, -111.21582",NA,NA,NA,NA,https://ebird.org/checklist/S381786834,NA,NA,eBird,S381786834,3,-111.215823,32.26904
Cardinalis sinuatus,pyrrhuloxia,Aves,Birds,2026-08-09,Saguaro NP--East--Rincon Mountain Visitor Center (not Cactus Loop Dr.),NA,NA,NA,NA,https://ebird.org/checklist/S381683723,NA,NA,eBird,S381683723,1,-110.7363725,32.180053
Cardinalis sinuatus,pyrrhuloxia,Aves,Birds,2026-08-07,Saguaro NP--East--Javelina Picnic Area,NA,NA,NA,NA,https://ebird.org/checklist/S380986294,NA,NA,eBird,S380986294,1,-110.7236373,32.1657012
Cardinalis sinuatus,pyrrhuloxia,Aves,Birds,2026-08-07,Saguaro NP--East--Cactus Forest Dr Loop,NA,NA,NA,NA,https://ebird.org/checklist/S380864059,NA,NA,eBird,S380864059,3,-110.7076505,32.191219
Cardinalis sinuatus,pyrrhuloxia,Aves,Birds,2026-08-05,Saguaro NP--West--Hugh Norris Trail,NA,NA,NA,NA,https://ebird.org/checklist/S380641008,NA,NA,eBird,S380641008,1,-111.1983991,32.2694148
Anaxyrus punctatus,red-spotted toad,Amphibia,Amphibians,2026-08-06,"Saguaro National Park - Rincon Mountain District, Tucson, AZ, US",4,nvpyromelana,193847,false,https://www.inaturalist.org/observations/389550900,https://inaturalist-open-data.s3.amazonaws.com/photos/713563613/medium.jpg,CC-BY-NC,iNaturalist,NA,1,-110.6765666667,32.14085
Anaxyrus punctatus,red-spotted toad,Amphibia,Amphibians,2026-08-06,"North Coyote Wash Trail, Tucson, AZ, US",4,desert_hambone,8378584,false,https://www.inaturalist.org/observations/388968860,https://inaturalist-open-data.s3.amazonaws.com/photos/712460953/medium.jpg,CC-BY-NC,iNaturalist,NA,1,-110.684455,32.1328416667
